,0_x,0_y
743,8563,9.65826
744,8566,10.757254
745,8568,10.475371
746,8570,9.111872
747,8573,10.893423
748,8575,11.28696
749,8576,10.400996
750,8577,10.412313
751,8578,10.349732
752,8580,10.958282
753,8584,11.008387
754,8585,11.082769
755,8590,11.212319
756,8592,11.210034
757,8593,10.771161
758,8598,10.239436
759,8600,10.75383
760,8602,10.612194
761,8608,10.405369
762,8609,11.002953
763,8611,10.852286
764,8612,10.727809
765,8615,10.27473
766,8616,11.266294
767,8618,10.796617
768,8620,11.287889
769,8630,10.646572
770,8632,11.075562
771,8635,10.634613
772,8636,10.797769
773,8638,10.773822
774,8643,9.972428
775,8646,10.695729
776,8649,11.130244
777,8651,10.395845
778,8652,9.378363
779,8655,10.033417
780,8661,10.599278
781,8663,10.511966
782,8666,10.700055
783,8672,10.568851
784,8673,10.788217
785,8674,10.227145
786,8675,10.900632
787,8676,11.089696
788,8677,9.423958
789,8678,10.041013
790,8679,10.539824
791,8681,10.666916
792,8683,11.113185
793,8684,10.114841
794,8685,10.38358
795,8686,10.545433
796,8694,10.404461
797,8701,11.011294
798,8703,10.357338
799,8706,9.975106
800,8708,11.058998
801,8709,10.297585
802,8713,10.874116
803,8717,11.6288595
804,8718,10.878166
805,8721,10.027876
806,8722,10.663261
807,8724,10.673239
808,8725,11.117085
809,8726,10.856255
810,8727,10.928755
811,8730,11.251357
812,8731,10.512595
813,8738,11.011646
814,8741,10.469641
815,8743,10.900986
816,8745,10.694407
817,8746,10.739995
818,8747,9.729416
819,8760,10.235383
820,8763,11.204735
821,8764,10.6857395
822,8765,11.103541
823,8770,10.633441
824,8771,10.803896
825,8773,11.270891
826,8775,11.369784
827,8777,10.991964
828,8778,10.379188
829,8780,10.218199
830,8783,10.902952
831,8786,10.734475
832,8789,10.970461
833,8790,10.036552
834,8793,9.687604
835,8800,10.255505
836,8803,10.621434
837,8805,8.990809
838,8806,9.9291315
839,8807,10.416025
840,8811,10.427809
841,8812,10.068194
842,8813,8.560961
843,8814,10.830217
844,8815,10.209865
845,8816,10.65263
846,8818,11.027519
847,8819,10.845856
848,8820,11.343755
849,8821,10.255451
850,8822,11.312125
851,8823,8.9252615
852,8825,9.536346
853,8826,10.945457
854,8827,10.815344
855,8829,10.695092
856,8830,10.823049
857,8843,10.673334
858,8845,11.21585
859,8847,10.927099
860,8848,10.780338
861,8853,9.42892
862,8855,9.924483
863,8860,10.969648
864,8865,10.633019
865,8866,9.482816
866,8867,9.944641
867,8869,10.67128
868,8870,10.857151
869,8871,9.6911125
870,8872,9.97077
871,8873,10.579964
872,8874,10.095636
873,8875,11.116114
874,8877,10.941191
875,8878,10.242704
876,8879,10.892827
877,8880,10.16444
878,8882,11.081925
879,8885,11.140352
880,8887,10.960985
881,8889,10.683896
882,8892,9.585211
883,8893,11.244933
884,8894,11.581298
885,8908,10.946243
886,8912,11.032239
887,8913,8.767674
888,8915,10.14861
889,8916,11.139591
890,8917,10.769151
891,8921,10.571144
892,8926,11.095037
893,8932,10.857759
894,8936,10.421094
895,8937,10.294271
896,8946,10.43559
897,8949,9.671909
898,8951,9.863466
899,8953,10.820416
900,8954,8.994612
901,8957,9.898697
902,8958,9.318737
903,8962,10.98463
904,8963,10.916816
905,8975,10.020719
906,8977,10.324649
907,8983,11.18463
908,8984,10.939706
909,8985,10.874079
910,8986,9.162426
911,8987,10.728829
912,8988,10.360086
913,8990,10.059468
914,8991,9.3957
915,8992,10.186669
916,8993,9.964832
917,8994,10.966431
918,8996,9.950461
919,8997,9.936066
920,8998,10.533673
921,8999,10.08019
922,9000,9.012687
923,9005,10.731979
924,9008,10.84311
925,9010,9.426328
926,9012,11.131653
927,9025,9.825
928,9031,10.913587
929,9032,9.728167
930,9033,11.2528715
931,9034,10.393141
932,9035,9.854961
933,9036,10.2991085
934,9037,10.516263
935,9038,8.915924
936,9039,11.116902
937,9040,10.405796
938,9041,9.890822
939,9042,10.977155
940,9043,10.4041395
941,9044,10.784284
942,9045,10.166267
943,9047,11.6153965
944,9052,10.658231
945,9056,10.734293
946,9061,9.439106
947,9062,10.26457
948,9064,9.126396
949,9065,10.15364
950,9067,9.431899
951,9069,10.232542
952,9070,9.711927
953,9071,9.621165
954,9072,10.977156
955,9073,9.9706335
956,9077,10.672909
957,9078,10.588949
958,9079,11.503787
959,9087,10.998164
960,9091,10.323492
961,9098,10.422571
962,9099,10.235914
963,9108,9.751856
964,9109,9.943316
965,9110,11.043509
966,9112,9.426802
